Brand,Spec_Score,Model_Name,Series,Price,Price_Range,Utility,Processor_Brand,Core Configuration,Clock-speed,OS Type,RAM Type,Ram_Capacity(GB),Graphics_Brand,Display Size (Inches),Resolution Width,Resolution Height,PPI,Aspect Ratio,Weight(kg),Touchscreen,Screen_Protection,Colour(s),Outlier_Flag,Original_Brand
Other,2.0,jiobook,jiobook,15000.0,Budget,Everyday Use,MediaTek,Octa Core,2.0,Jio,LPDDR4,4,MediaTek,11.6,1366,768,135.09,1.78,1.0,No,Yes,Jioblue,0,Reliance
Asus,7.3,zenbook 14x oled ux5401za,zenbook,67990.0,Mid-Range,Ultrabook,Intel,Hexa Core,2.68,Windows,LPDDR5,16,Intel,14.0,2880,1800,242.59,1.6,1.4,Yes,Yes,Pine Grey,0,Asus
Asus,2.6,vivobook 15 x515ja,vivobook,35989.0,Economy,Personal,Intel,Dual Core,1.2,Windows,DDR4,4,Intel,15.6,1920,1080,141.21,1.78,1.8,No,Yes,Grey,0,Asus
Lenovo,7.0,ideapad flex 5 14abr8,ideapad,63600.0,Mid-Range,Everyday Use,AMD,Hexa Core,2.0,Windows,LPDDR4X,16,AMD,14.0,1920,1200,161.73,1.6,1.55,Yes,No,Grey,0,Lenovo
Acer,4.7,aspire 3 a315510p,aspire,33400.0,Economy,Everyday Use,Intel,Octa Core,3.4,Windows,LPDDR5,8,Intel,15.6,1920,1080,141.21,1.78,1.7,No,No,Silver,0,Acer
Asus,7.3,vivobook 15 x1502va,vivobook,64990.0,Mid-Range,Everyday Use,Intel,Deca Core,2.6,Windows,DDR4,16,Intel,15.6,1920,1080,141.21,1.78,1.7,No,Yes,Silver,0,Asus
Asus,1.6,chromebook flip c214ma,chromebook,29431.0,Budget,Personal,Intel,Dual Core,1.1,Chrome,LPDDR4,4,Intel,11.6,1366,768,135.09,1.78,1.2,Yes,Yes,Grey,0,Asus
Infinix,4.7,inbook x1 slim xl21,inbook,28490.0,Budget,Everyday Use,Intel,Dual Core,3.4,Windows,LPDDR4X,8,Intel,14.0,1920,1080,157.35,1.78,1.24,No,No,Blue,0,Infinix
Asus,3.6,vivobook 14 x415ja,vivobook,29990.0,Budget,Everyday Use,Intel,Dual Core,1.2,Windows,DDR4,8,Intel,14.0,1366,768,111.94,1.78,1.6,No,Yes,Silver,0,Asus
Infinix,9.4,zero book 13 zl513,zero,59990.0,Economy,Everyday Use,Intel,Deca Core,4.8,Windows,LPDDR5X,16,Intel,15.6,1920,1080,141.21,1.78,1.8,No,No,Grey,0,Infinix
Lenovo,8.7,loq 15aph8,loq,83990.0,Mid-Range,Gaming,AMD,Octa Core,3.4,Windows,DDR5,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.4,No,Yes,Grey,0,Lenovo
Asus,6.0,vivobook k15 oled km513ua,vivobook,51990.0,Economy,Everyday Use,AMD,Hexa Core,4.0,Windows,DDR4,8,AMD,15.6,1920,1080,141.21,1.78,1.8,No,No,Silver,0,Asus
Dell,5.2,inspiron 14 5410,inspiron,69749.0,Mid-Range,Everyday Use,Intel,Quad Core,2.5,Windows,DDR4,8,Intel,14.0,1920,1080,157.35,1.78,1.5,Yes,No,Silver,0,Dell
Lenovo,5.6,ideapad flex 5i,ideapad,68860.0,Mid-Range,Everyday Use,Intel,Deca Core,3.3,Windows,LPDDR4X,8,Intel,14.0,1920,1200,161.73,1.6,1.5,Yes,No,Grey,0,Lenovo
HP,5.8,spectre folio 13ak0013dx,spectre,151818.0,Luxury,Everyday Use,Intel,Dual Core,1.5,Windows,DDR4,8,Intel,13.3,1920,1080,165.63,1.78,1.47,Yes,No,Brown,0,HP
Asus,9.1,tuf gaming a15 fa506icb,tuf,81000.0,Mid-Range,Gaming,AMD,Octa Core,4.2,Windows,DDR4,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.3,No,No,Black,0,Asus
Dell,3.5,inspiron 15 3520,inspiron,34400.0,Economy,Everyday Use,Intel,Hexa Core,1.0,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.65,No,No,Black,0,Dell
Lenovo,7.1,ideapad gaming 3 15ach6,ideapad,67990.0,Mid-Range,Everyday Use,AMD,Octa Core,4.2,Windows,DDR4,8,NVIDIA,15.6,1920,1080,141.21,1.78,2.25,No,Yes,Black,0,Lenovo
Lenovo,5.5,legion 5,legion,76500.0,Mid-Range,Everyday Use,AMD,Hexa Core,3.0,Windows,DDR4,8,NVIDIA,15.6,1920,1080,141.21,1.78,2.3,No,Yes,Black,0,Lenovo
Asus,6.0,vivobook k15 oled km513ua,vivobook,48490.0,Economy,Everyday Use,AMD,Hexa Core,4.0,Windows,DDR4,8,AMD,15.6,1920,1080,141.21,1.78,1.8,No,No,Black,0,Asus
Asus,1.6,chromebook c423na,chromebook,18990.0,Budget,Personal,Intel,Dual Core,1.1,Chrome,LPDDR4X,4,Intel,14.0,1366,768,111.94,1.78,1.34,No,No,Silver,0,Asus
Lenovo,2.0,v15 igl,v15,25900.0,Budget,Everyday Use,Intel,Dual Core,2.01,Windows,DDR4,4,Intel,15.6,1920,1080,141.21,1.78,1.85,No,Yes,Grey,0,Lenovo
Lenovo,7.0,ideapad gaming 3 15iah7,ideapad,66990.0,Mid-Range,Everyday Use,Intel,Hexa Core,2.0,Windows,DDR4,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.31,No,Yes,Grey,0,Lenovo
Lenovo,3.6,ideapad slim 3,ideapad,32990.0,Economy,Everyday Use,Intel,Dual Core,1.2,Windows,DDR4,8,Intel,15.6,1366,768,100.45,1.78,1.85,No,Yes,Grey,0,Lenovo
Lenovo,8.6,ideapad gaming 3 15ach6,ideapad,71990.0,Mid-Range,Gaming,AMD,Octa Core,3.3,Windows,DDR4,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.25,No,Yes,Black,0,Lenovo
Dell,5.6,g155525,g155525,66215.0,Mid-Range,Everyday Use,AMD,Hexa Core,3.3,Windows,DDR5,8,NVIDIA,15.6,1920,1080,141.21,1.78,2.51,No,No,Phantom Grey With Speckles,0,Dell
Dell,4.5,inspiron 15 3511,inspiron,46990.0,Economy,Everyday Use,Intel,Dual Core,3.0,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.8,No,No,Black,0,Dell
Lenovo,7.6,ideapad gaming 3i,ideapad,113290.0,Premium,Everyday Use,Intel,Hexa Core,3.3,Windows,DDR4,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.32,No,Yes,Grey,0,Lenovo
Asus,5.0,vivobook go e1404fa,vivobook,33990.0,Economy,Everyday Use,AMD,Quad Core,4.0,Windows,LPDDR5,8,AMD,14.0,1920,1080,157.35,1.78,1.38,No,Yes,Black,0,Asus
HP,9.4,pavilion aero 13be2047au,pavilion,80490.0,Mid-Range,Gaming,AMD,Octa Core,4.7,Windows,DDR5,16,AMD,13.3,1920,1200,170.24,1.6,1.58,No,Yes,Gold,0,HP
Lenovo,7.9,ideapad flex 5 gen 7,ideapad,75000.0,Mid-Range,Everyday Use,AMD,Octa Core,1.8,Windows,LPDDR4X,16,AMD,14.0,1920,1200,161.73,1.6,1.55,Yes,No,Grey,0,Lenovo
HP,9.8,omen 16wf1025tx,omen,138990.0,Luxury,Gaming,Intel,Deca Core,5.5,Windows,DDR5,16,NVIDIA,16.1,1920,1080,136.83,1.78,2.39,No,Yes,Black,0,HP
Lenovo,4.0,ideapad slim 3i,ideapad,35890.0,Economy,Everyday Use,Intel,Dual Core,2.1,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.7,No,Yes,Grey,0,Lenovo
Asus,3.8,vivobook x407ua,vivobook,43990.0,Economy,Personal,Intel,Quad Core,1.6,Windows,DDR4,4,Intel,14.0,1366,768,111.94,1.78,1.5,No,Yes,Grey,0,Asus
Asus,7.2,vivobook k513ea,vivobook,54490.0,Economy,Everyday Use,Intel,Quad Core,2.4,Windows,DDR4,16,Intel,15.6,1920,1080,141.21,1.78,1.8,No,No,Silver,0,Asus
Lenovo,5.2,ideapad slim 3 15itl05,ideapad,52990.0,Economy,Everyday Use,Intel,Quad Core,2.4,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.7,No,Yes,Grey,0,Lenovo
Infinix,7.6,inbook x1 pro xl12,inbook,44990.0,Economy,Everyday Use,Intel,Quad Core,1.3,Windows,LPDDR4X,16,Intel,14.0,1920,1080,157.35,1.78,1.48,No,No,Grey,0,Infinix
Asus,4.6,vivobook 15 oled x1505za,vivobook,59800.0,Economy,Everyday Use,Intel,Hexa Core,3.3,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.7,No,No,Black,0,Asus
Dell,7.6,g155525,g155525,72990.0,Mid-Range,Everyday Use,AMD,Hexa Core,3.3,Windows,DDR5,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.51,No,No,Phantom Grey With Speckles,0,Dell
Asus,4.6,vivobook 14 x1402za,vivobook,50990.0,Economy,Everyday Use,Intel,Deca Core,1.3,Windows,DDR4,8,Intel,14.0,1920,1080,157.35,1.78,1.5,No,Yes,Blue,0,Asus
Lenovo,1.6,ideapad slim 3i,ideapad,23200.0,Budget,Personal,Intel,Dual Core,1.1,Chrome,LPDDR4,4,Intel,14.0,1920,1080,157.35,1.78,1.4,No,Yes,Grey,0,Lenovo
HP,8.1,pavilion 14dv2016tu,pavilion,78300.0,Mid-Range,Ultrabook,Intel,Deca Core,4.2,Windows,DDR4,16,Intel,14.0,1920,1080,157.35,1.78,1.41,No,No,Pink,0,HP
HP,2.0,pavilion 15r063nr,pavilion,75279.0,Mid-Range,Everyday Use,Intel,Quad Core,2.1,Windows,DDR3,4,Intel,15.6,1366,768,100.45,1.78,2.3,Yes,No,Black,0,HP
Dell,8.6,g155525,g155525,91991.0,Premium,Gaming,AMD,Octa Core,3.3,Windows,DDR5,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.51,No,No,Phantom Grey With Speckles,0,Dell
Dell,4.5,inspiron 15 3511,inspiron,51900.0,Economy,Everyday Use,Intel,Dual Core,3.0,Windows,DDR4,8,Intel,15.6,1920,1080,141.21,1.78,1.85,No,No,Silver,0,Dell
Asus,5.2,tuf gaming f15 fx506lhb,tuf,53990.0,Economy,Everyday Use,Intel,Quad Core,2.5,Windows,DDR4,8,NVIDIA,15.6,1920,1080,141.21,1.78,2.3,No,Yes,Black,0,Asus
Asus,5.2,tuf gaming f15 fx506lh,tuf,54999.0,Economy,Everyday Use,Intel,Quad Core,2.5,Windows,DDR4,8,NVIDIA,15.6,1920,1080,141.21,1.78,2.3,No,Yes,Black,0,Asus
Lenovo,5.2,ideapad 310,ideapad,49490.0,Economy,Everyday Use,Intel,Dual Core,2.3,Windows,DDR4,8,NVIDIA,15.6,1366,768,100.45,1.78,2.2,No,No,Black,0,Lenovo
Asus,3.6,vivobook 15 x515ja,vivobook,31990.0,Economy,Everyday Use,Intel,Dual Core,1.2,Windows,DDR4,8,Intel,14.0,1920,1080,157.35,1.78,1.8,No,Yes,Silver,0,Asus
Samsung,1.8,chromebook xe500c13,chromebook,71310.0,Mid-Range,Everyday Use,Intel,Dual Core,1.6,Chrome,LPDDR3,4,Intel,11.6,1366,768,135.09,1.78,1.15,No,Yes,Black,0,Samsung
Lenovo,7.1,ideapad gaming 3 15ach6,ideapad,64640.0,Mid-Range,Everyday Use,AMD,Octa Core,4.2,Windows,DDR4,8,NVIDIA,15.6,1920,1080,141.21,1.78,2.25,No,Yes,Black,0,Lenovo
Asus,1.8,vivobook l402wa,vivobook,77460.0,Mid-Range,Everyday Use,AMD,Quad Core,1.5,Windows,DDR3,4,AMD,14.0,1366,768,111.94,1.78,2.1,No,No,Black,0,Asus
Dell,3.3,inspiron 15 3525,inspiron,35990.0,Economy,Everyday Use,AMD,Dual Core,2.64,Windows,DDR4,8,AMD,15.6,1366,768,100.45,1.78,1.66,No,Yes,Silver,0,Dell
Asus,7.6,vivobook 15 x515ja,vivobook,53990.0,Economy,Everyday Use,Intel,Quad Core,1.3,Windows,DDR4,16,Intel,15.6,1920,1080,141.21,1.78,1.8,No,Yes,Silver,0,Asus
Other,5.1,magicbook x 14,magicbook,39990.0,Economy,Everyday Use,Intel,Dual Core,4.2,Windows,DDR4,8,Intel,14.0,1920,1080,157.35,1.78,1.38,No,Yes,"Space Gray, Mystic Silver",0,Honor
MSI,5.4,gf63 thin 11sc,gf63,42990.0,Economy,Everyday Use,Intel,Hexa Core,2.7,Windows,DDR4,8,NVIDIA,15.6,1920,1080,141.21,1.78,1.86,No,No,Black,0,MSI
Lenovo,4.5,ideapad 3 14itl6,ideapad,40200.0,Economy,Everyday Use,Intel,Dual Core,3.0,Windows,DDR4,8,Intel,14.0,1920,1080,157.35,1.78,1.41,No,Yes,Grey,0,Lenovo
Lenovo,5.6,ideapad gaming 3 15ihu6,ideapad,63000.0,Mid-Range,Everyday Use,Intel,Quad Core,3.1,Windows,DDR4,8,NVIDIA,15.6,1920,1080,141.21,1.78,2.25,No,Yes,Black,0,Lenovo
Asus,7.2,vivobook k15 oled k513ea,vivobook,62990.0,Mid-Range,Everyday Use,Intel,Quad Core,2.4,Windows,DDR4,16,Intel,15.6,1920,1080,141.21,1.78,1.8,No,No,Black,0,Asus
Asus,7.6,vivobook pro 15 m6500qc,vivobook,62700.0,Mid-Range,Everyday Use,AMD,Hexa Core,3.3,Windows,DDR4,16,NVIDIA,15.6,1920,1080,141.21,1.78,1.8,No,No,Silver,0,Asus
Asus,8.6,tuf gaming a15 fa577re,tuf,141990.0,Luxury,Gaming,AMD,Octa Core,3.3,Windows,DDR5,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.2,No,No,Grey,0,Asus
HP,8.7,pavilion 15eh3101au,pavilion,60990.0,Mid-Range,Gaming,AMD,Octa Core,3.43,Windows,DDR4,16,AMD,15.6,1920,1080,141.21,1.78,1.75,No,Yes,Silver,0,HP
MSI,8.4,sword 15 a12uc467in ultrabook,sword,89490.0,Mid-Range,Everyday Use,Intel,Hexa Core,4.7,Windows,DDR4,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.3,No,No,White,0,MSI
Lenovo,8.6,legion 5 15ach6,legion,99990.0,Premium,Gaming,AMD,Octa Core,3.1,Windows,DDR4,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.4,No,Yes,Black,0,Lenovo
Lenovo,3.0,thinkbook,thinkbook,30800.0,Economy,Everyday Use,Intel,Dual Core,2.1,Windows,DDR4,4,Intel,14.0,1920,1080,157.35,1.78,1.5,No,Yes,Grey,0,Lenovo
Asus,6.1,tuf gaming f15 fx507zc4,tuf,71990.0,Mid-Range,Everyday Use,Intel,Hexa Core,4.2,Windows,DDR4,8,NVIDIA,15.6,1920,1080,141.21,1.78,2.2,No,No,Grey,0,Asus
HP,9.4,omen 16b1371tx,omen,170990.0,Luxury,Gaming,Intel,Octa Core,4.7,Windows,DDR5,16,NVIDIA,16.1,2560,1440,182.44,1.78,2.32,No,Yes,Black,0,HP
Dell,8.1,inspiron 16 5620,inspiron,75500.0,Mid-Range,Everyday Use,Intel,Deca Core,4.2,Windows,DDR4,16,NVIDIA,16.0,1920,1200,141.51,1.6,1.87,No,Yes,Silver,0,Dell
HP,8.1,victus 15fa1216tx,victus,71990.0,Mid-Range,Everyday Use,Intel,Hexa Core,4.2,Windows,DDR4,16,NVIDIA,15.6,1920,1080,141.21,1.78,2.29,No,Yes,Blue,0,HP
