Name,Price,Performance,Design,Storage,Battery
HP 240 G9 (821J4PA) Laptop (Core i5 12th Gen/8 GB/512 GB SSD/Windows 11),"Rs.67,999","Core i5 12th Gen
4.2 Ghz
8 GB DDR4 RAM","14 inches (35.56 cm)
1366 x 768 pixels
1.47 Kg, 19.9 mm thick",512 GB SSD,Li-Ion
Asus VivoBook 15 X1504ZA-NJ522WS Laptop (Core i5 12th Gen/8 GB/512 GB SSD/Windows 11),"Rs.51,500","Core i5 12th Gen
1.3 Ghz
8 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.70 Kg, 17.9 mm thick",512 GB SSD,"Li-Ion
3 Cell
3 Hrs"
Lenovo IdeaPad Flex 5 (82XX0070IN) Laptop (AMD Hexa Core Ryzen 5/16 GB/512 GB SSD/Windows 11),"Rs.69,190","AMD Hexa Core Ryzen 5
2.0 Ghz
16 GB LPDDR4X RAM","14 inches (35.56 cm)
1920 x 1200 pixels
1.5 Kg
2-in-1",512 GB SSD,"Li-Ion
3 Cell
10 Hrs"
Asus VivoBook Pro 15 M6500QF-HN522WS Laptop (AMD Hexa Core Ryzen 5/8 GB/512 GB SSD/Windows 11/4 GB),"Rs.49,590","AMD Hexa Core Ryzen 5
3.3 Ghz
8 GB DDR4 RAM
4 GB Graphics","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.80 Kg, 19.9 mm thick",512 GB SSD,"Li-Ion
3 Cell"
Lenovo ThinkBook 15 G4 (21DJA0D9IH) Laptop (Core i5 12th Gen/16 GB/1 TB SSD/Windows 11),"Rs.58,990","Core i5 12th Gen
1.3 Ghz
16 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.7 Kg, 18.9 mm thick",1 TB SSD,"Li-Po
3 Cell
6 Hrs"
Dell G15-5530 (GN5530N2FRY001ORB1) Laptop (Core i7 13th Gen/16 GB/512 GB SSD/Windows 11/6 GB),"Rs.124,999","Core i7 13th Gen
3.4 Ghz
16 GB DDR5 RAM
6 GB Graphics","15.6 inches (39.62 cm)
1920 x 1080 pixels
2.81 Kg, 26.1 mm thick",512 GB SSD,"Li-Ion
4 Cell
5 Hrs"
Asus VivoBook Pro 15 OLED M6500QFB-LK541WS Laptop (AMD Hexa Core Ryzen 5/16 GB/512 GB SSD/Windows 11/4 GB),"Rs.57,990","AMD Hexa Core Ryzen 5
3.3 Ghz
16 GB DDR4 RAM
4 GB Graphics","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.80 Kg, 18.9 mm thick",512 GB SSD,"Li-Ion
3 Cell"
Asus VivoBook Pro 15 OLED M6500QFB-LK542WS Laptop (AMD Hexa Core Ryzen 5/16 GB/512 GB SSD/Windows 11/4 GB),"Rs.57,990","AMD Hexa Core Ryzen 5
3.3 Ghz
16 GB DDR4 RAM
4 GB Graphics","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.80 Kg, 18.9 mm thick",512 GB SSD,"Li-Ion
3 Cell"
Lenovo Ideapad Slim 3i (82H803HRIN) Laptop (Core i7 11th Gen/16 GB/512 GB SSD/Windows 11),"Rs.58,700","Core i7 11th Gen
2.8 Ghz
16 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.65 Kg",512 GB SSD,"Li-Ion
3 Cell
7 Hrs"
Asus Vivobook 16X K3605ZC-MBN742WS Laptop (Core i7 12th Gen/16 GB/512 GB SSD/Windows 11/4 GB),"Rs.77,990","Core i7 12th Gen
2.3 Ghz
16 GB DDR4 RAM
4 GB Graphics","16 inches (40.64 cm)
1920 x 1200 pixels
1.80 Kg, 18.9 mm thick",512 GB SSD,"Li-Ion
3 Cell"
Lenovo V14 G2 (82KAA04RIH) Laptop (Core i3 11th Gen/8 GB/256 GB SSD/Windows 11),"Rs.45,990","Core i3 11th Gen
3.0 Ghz
8 GB DDR4 RAM","14 inches (35.56 cm)
1920 x 1080 pixels",256 GB SSD,"Li-Po
2 Cell
8 Hrs"
MSI GF63 Thin 11SC-1629IN Laptop (/16 GB/512 GB SSD/Windows 11/4 GB),"Rs.45,990","4.2 Ghz
16 GB DDR5 RAM
4 GB Graphics","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.86 Kg",512 GB SSD,"Li-Ion
3 Cell"
Asus VivoBook Pro 15 OLED K6502VU-MA952WS Laptop (Core i9 13th Gen/16 GB/1 TB SSD/Windows 11/6 GB),"Rs.157,660","Core i9 13th Gen
2.6 Ghz
16 GB DDR5 RAM
6 GB Graphics","15.6 inches (39.62 cm)
2880 x 1620 pixels
1.80 Kg, 20 mm thick",1 TB SSD,"Li-Ion
3 Cell"
Asus VivoBook Pro 15 M6500QC-HN552WS Laptop (AMD Hexa Core Ryzen 5/16 GB/1 TB SSD/Windows 11/4 GB),"Rs.65,990","AMD Hexa Core Ryzen 5
4.2 Ghz
16 GB DDR4 RAM
4 GB Graphics","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.80 Kg, 19.9 mm thick",1 TB SSD,"Li-Ion
3 Cell"
HP 15-fc0027AU (7L031PA) Laptop (AMD Quad Core Ryzen 3/8 GB/512 GB SSD/Windows 11),"Rs.43,890","AMD Quad Core Ryzen 3
4.0 Ghz
8 GB LPDDR5 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.59 Kg, 18.6 mm thick",512 GB SSD,"Li-Ion
3 Cell"
Lenovo ThinkBook 14 G4 (21DH00C1IH) Laptop (Core i5 12th Gen/8 GB/512 GB SSD/Windows 11),"Rs.58,990","Core i5 12th Gen
1.3 Ghz
8 GB DDR4 RAM","14 inches (35.56 cm)
1920 x 1080 pixels
1.40 Kg",512 GB SSD,"Li-Po
3 Cell"
Asus VivoBook 15X OLED M3504YA-LK752WS Laptop (AMD Octa Core Ryzen 7/16 GB/1 TB SSD/Windows 11),"Rs.60,990","AMD Octa Core Ryzen 7
4.2 Ghz
16 GB DDR4 RAM","15.6 inches (39.62 cm)
1920 x 1080 pixels
1.70 Kg, 17.9 mm thick",1 TB SSD,"Li-Ion
3 Cell"
Acer Swift Go OLED (NX.KPZSI.002) Laptop (Core i5 13th Gen/16 GB/512 GB SSD/Windows 11),"Rs.69,999","Core i5 13th Gen
4.7 Ghz
16 GB LPDDR5 RAM","14 inches (35.56 cm)
2880 x 1800 pixels
1.25 Kg, 14.9 mm thick",512 GB SSD,"Li-Ion
4 Cell"
Lenovo Yoga Slim 7i Carbon 13IRP8 (83AY003CIN) Laptop (Core i7 13th Gen/16 GB/1 TB SSD/Windows 11),"Rs.119,990","Core i7 13th Gen
2.2 Ghz
16 GB LPDDR5 RAM","13.3 inches (33.78 cm)
2560 x 1600 pixels
1 Kg, 14.8 mm thick",1 TB SSD,"Li-Ion
4 Cell
10 Hrs"
Lenovo Ideapad Slim 5i (82XD003MIN) Laptop (Core i5 13th Gen/16 GB/512 GB SSD/Windows 11),"Rs.68,990","Core i5 13th Gen
3.4 Ghz
16 GB LPDDR5 RAM","14 inches (35.56 cm)
1920 x 1200 pixels
1.4 Kg",512 GB SSD,"Li-Ion
3 Cell
11 Hrs"
Lenovo Ideapad Slim 5i (83BG000DIN) Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11),"Rs.62,190","Core i5 12th Gen
3.3 Ghz
16 GB LPDDR5 RAM","16 inches (40.64 cm)
1920 x 1200 pixels
1.9 Kg",512 GB SSD,"Li-Ion
3 Cell"
